"ID" "nazov.skoly" "adresa" "obec" "okres" "zriadovateľ" "skupina.odborov.cislo" "skupina.odborov" "odbor" "odbor.nazov" "Forma" "Druh" "stupen.vzdelania" "Dĺžka" "Jazyk" "1." "2." "3." "4." "5." "6." "7." "8." "žiaci.spolu" "novoprijatí.1..ročník.2017" "absolventi.2017" "odborný.výcvik.a.prax" "predpokladani.absolventi.máj.2018" "lat" "lng"
"23" "10" "Gymnázium Martina Kukučína" "Clementisova 1166" "Revúca" "RA" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 24 26 24 22 0 0 0 0 96 24 22 0 22 20.1191868 48.6854795
"24" "10" "Gymnázium Martina Kukučína" "Clementisova 1166" "Revúca" "RA" "BBSK" 79 "Gymnáziá" "7902500" "gymnázium" "D" "3G" "5" 8 "S " 0 0 0 0 0 0 0 19 19 0 0 0 19 20.1191868 48.6854795
"25" "10" "Gymnázium Martina Kukučína" "Clementisova 1166" "Revúca" "RA" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 15 18 17 20 18 0 0 0 88 15 0 0 0 20.1191868 48.6854795
"26" "11" "Prvé slovenské literárne gymnázium" "Železničná 260" "Revúca" "RA" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 8 11 0 13 0 0 0 0 32 8 16 0 13 20.1124329 48.6808518
"27" "12" "Gymnázium Ivana Kraska - Ivan Krasko Gymnázium" "P. Hostinského 3" "Rimavská Sobota" "RS" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 52 36 48 48 0 0 0 0 184 52 41 0 48 20.0212028 48.3779465
"28" "12" "Gymnázium Ivana Kraska - Ivan Krasko Gymnázium" "P. Hostinského 3" "Rimavská Sobota" "RS" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "M " 17 17 0 0 0 0 0 0 34 17 16 0 0 20.0212028 48.3779465
"29" "12" "Gymnázium Ivana Kraska - Ivan Krasko Gymnázium" "P. Hostinského 3" "Rimavská Sobota" "RS" "BBSK" 79 "Gymnáziá" "7902500" "gymnázium" "D" "3G" "5" 8 "S " 0 0 0 0 0 0 15 18 33 0 0 0 18 20.0212028 48.3779465
"30" "12" "Gymnázium Ivana Kraska - Ivan Krasko Gymnázium" "P. Hostinského 3" "Rimavská Sobota" "RS" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 29 27 23 12 0 19 0 0 110 29 0 0 0 20.0212028 48.3779465
"31" "13" "Gymnázium Mateja Hrebendu" "Hlavná 431" "Hnúšťa" "RS" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 4 "S " 0 18 27 14 0 0 0 0 59 0 12 0 14 19.953857 48.575034
"32" "13" "Gymnázium Mateja Hrebendu" "Hlavná 431" "Hnúšťa" "RS" "BBSK" 79 "Gymnáziá" "7902500" "gymnázium" "D" "3G" "5" 8 "S " 0 0 0 0 0 0 0 12 12 0 0 0 12 19.953857 48.575034
"33" "13" "Gymnázium Mateja Hrebendu" "Hlavná 431" "Hnúšťa" "RS" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 18 21 15 14 13 0 0 0 81 18 0 0 0 19.953857 48.575034
